feature,anova_f,anova_p,mutual_info,random_forest,anova_rank,mi_rank,rf_rank,mean_rank
humidity_percent,9679.713913678303,0.0,2.312207338167107,3.9518816939337693e-07,40.0,36.0,39.0,38.333333333333336
light_raw__roll_mean_360m,30677.581299669848,0.0,2.355579042536415,2.1930922575482993e-07,16.0,31.0,74.0,40.333333333333336
humidity_percent_rms_180,10096.37358875986,0.0,2.935922296941569,2.0384534459679688e-07,30.0,14.0,79.0,41.0
temperature_c__roll_std_360m,2736.4931935779705,0.0,2.0831300311699392,1.0077285407237565e-06,65.0,44.0,15.0,41.333333333333336
humidity_percent__roll_mean_60m,10096.687264661836,0.0,2.9350881948070713,1.978231719945012e-07,29.0,15.0,82.0,42.0
solar_raw_rms_240,13788.045108715462,0.0,2.0589116296385956,2.3863160731626905e-07,20.0,45.0,63.0,42.666666666666664
humidity_percent__roll_std_360m,6091.996248377989,0.0,2.1762003167520287,4.1994639322638797e-07,51.0,42.0,37.0,43.333333333333336
humidity_percent_rms_120,10189.57277696055,0.0,2.8946154086248637,1.7051339702649966e-07,27.0,18.0,90.0,45.0
hour_cos,31908.60625119247,0.0,2.0133618359769434,2.0529114066534566e-07,15.0,47.0,78.0,46.666666666666664
temperature_c__roll_mean_360m,6928.707673997105,0.0,2.2361558864409448,2.6768986631676917e-07,47.0,38.0,56.0,47.0
light_raw__cv_1h,9775.963915285942,0.0,1.5691014032488235,3.664288057982889e-07,37.0,66.0,41.0,48.0
light_raw__roll_mean_60m,12151.33201600266,0.0,1.994358287917163,2.032315486149837e-07,21.0,48.0,80.0,49.666666666666664
solar_raw__cv_1h,9876.934801492724,0.0,1.5230274322719994,3.086934746994608e-07,35.0,69.0,51.0,51.666666666666664
solar_raw_rms_120,8554.97211394102,0.0,1.8397338630357636,2.634238904736584e-07,42.0,58.0,57.0,52.333333333333336
solar_raw_rms_180,10998.850485389623,0.0,1.9587315104619556,1.923865954719997e-07,26.0,51.0,83.0,53.333333333333336
humidity_percent__lag_1,9695.342666704491,0.0,2.2465889690045313,1.8667789933079138e-07,39.0,37.0,85.0,53.666666666666664
light_raw_rms_90,8162.099404639277,0.0,1.7839442207629128,2.473360105226484e-07,43.0,60.0,61.0,54.666666666666664
humidity_percent__cv_1h,1365.267516018799,6.215749835812764e-287,1.50032467438451,8.222946313779711e-07,78.0,70.0,18.0,55.333333333333336
solar_raw__roll_mean_60m,11566.305747201242,0.0,1.936435998707875,1.8471868806089932e-07,25.0,54.0,87.0,55.333333333333336
humidity_percent__lag_15,9901.836258591811,0.0,2.181575589160035,1.512961307463805e-07,33.0,41.0,96.0,56.666666666666664
humidity_percent__roll_mean_360m,3217.625515052955,0.0,2.7087234283421253,2.001257454704091e-07,64.0,26.0,81.0,57.0
light_raw_rms_120,9258.585614437743,0.0,1.8848392277525008,2.1922624930400543e-07,41.0,56.0,75.0,57.333333333333336
solar_raw_rms_90,7460.341574909626,0.0,1.7190214557830883,2.293088542754719e-07,44.0,61.0,69.0,58.0
solar_raw_rms_60,6439.671119735544,0.0,1.5944506187114111,2.415658876916669e-07,49.0,64.0,62.0,58.333333333333336
humidity_percent__roll_std_60m,1235.2118693374207,8.787327596127814e-261,1.4980589635987203,6.543628343029805e-07,81.0,71.0,23.0,58.333333333333336
light_raw_rms_30,6118.032462372654,0.0,1.4795352166722608,2.686057061743782e-07,50.0,72.0,55.0,59.0
light_raw_rms_60,7122.564535232408,0.0,1.652566096392122,2.2803320957511314e-07,46.0,62.0,70.0,59.333333333333336
battery_v__roll_std_360m,241.9482472942103,3.665590403551754e-54,2.230916671466664,6.759825599237481e-07,121.0,39.0,21.0,60.333333333333336
solar_raw__skew_1h,2197.5767004760323,0.0,1.092946713112358,5.189384549438291e-07,69.0,82.0,30.0,60.333333333333336
humidity_percent__lag_5,9758.4636072547,0.0,2.1959462466889033,1.2149112785433172e-07,38.0,40.0,104.0,60.666666666666664
light_raw__roll_std_60m,1983.3024726830715,0.0,1.8848692157263836,2.575663254256735e-07,70.0,55.0,58.0,61.0
light_raw_iqr_180,1286.1423875094292,4.782807857622303e-271,1.0692891486183358,5.282986268432732e-07,79.0,84.0,29.0,64.0
solar_raw_rms_30,5477.879767262805,0.0,1.3919541306876688,2.3300804257397031e-07,54.0,74.0,67.0,65.0
light_raw__skew_1h,2657.042655645439,0.0,1.0622185039052123,3.4635254858828493e-07,66.0,85.0,46.0,65.66666666666667
light_raw__roll_std_15m,1727.7470750813775,0.0,1.0718368663210018,3.612785726471749e-07,72.0,83.0,42.0,65.66666666666667
solar_raw__roll_mean_15m,5967.463516019641,0.0,1.4380813109904027,2.2145488080492687e-07,53.0,73.0,71.0,65.66666666666667
humidity_percent__roll_range_360m,7343.895431270945,0.0,2.3357002901542545,8.340337618560982e-08,45.0,35.0,118.0,66.0
temperature_c__skew_1h,1394.0577586977092,1.0745300452249882e-292,0.6436905873788845,2.376258486570447e-06,77.0,112.0,11.0,66.66666666666667
light_raw__roll_mean_15m,6569.906961689598,0.0,1.5297105425126158,1.8603096171020038e-07,48.0,67.0,86.0,67.0
temperature_c__cv_1h,479.14318549633833,1.0996734299772402e-104,1.3371399430759006,5.40443267600983e-07,102.0,75.0,28.0,68.33333333333333
light_raw__lag_5,5422.017681604442,0.0,1.028025315652418,2.3552145602751546e-07,55.0,89.0,65.0,69.66666666666667
temperature_c__roll_std_60m,601.2590019638626,2.176036178377976e-130,1.3203172862920205,4.352186997079246e-07,99.0,76.0,35.0,70.0
light_raw__lag_1,5200.153965180359,0.0,1.0295060811913936,2.3048911576419616e-07,57.0,88.0,68.0,71.0
solar_raw__roll_std_60m,865.5664326896624,2.3382211273967206e-185,1.606910435760403,2.5607967130514947e-07,91.0,63.0,59.0,71.0
humidity_percent__skew_1h,1095.6760197177302,1.667513377074456e-232,0.616588832604295,7.252273782948474e-07,84.0,117.0,19.0,73.33333333333333
